Species,Period,Season,Hatchlings,Nests
Chelonia mydas,BS,2010,51298,541
Chelonia mydas,BS,2011,47753,475
Chelonia mydas,BS,2012,55157,765
Chelonia mydas,BS,2013,82960,918
Chelonia mydas,BS,2014,44704,541
Chelonia mydas,AS,2015,235827,2999
Chelonia mydas,AS,2016,155337,1895
Chelonia mydas,AS,2017,327676,4747
Chelonia mydas,AS,2018,107937,1382
Chelonia mydas,AS,2019,193323,2660
Chelonia mydas,BS,2010,164993,1734
Chelonia mydas,BS,2011,118793,1359
Chelonia mydas,BS,2012,100763,1854
Chelonia mydas,BS,2013,263634,2884
Chelonia mydas,BS,2014,116228,1397
Chelonia mydas,AS,2015,849137,8260
Chelonia mydas,AS,2016,298962,3180
Chelonia mydas,AS,2017,1031905,11044
Chelonia mydas,AS,2018,303966,2908
Chelonia mydas,AS,2019,1249423,11570
Chelonia mydas,BS,2010,417330,4310
Chelonia mydas,BS,2011,452425,4896
Chelonia mydas,BS,2012,508892,5049
Chelonia mydas,BS,2013,831808,7680
Chelonia mydas,BS,2014,281455,2887
Chelonia mydas,AS,2015,8266,96
Chelonia mydas,AS,2016,14230,196
Chelonia mydas,AS,2017,26704,415
Chelonia mydas,AS,2018,3929,48
Chelonia mydas,AS,2019,10886,125
Chelonia mydas,BS,2010,16091,235
Chelonia mydas,BS,2011,16448,225
Chelonia mydas,BS,2012,23725,327
Chelonia mydas,BS,2013,26381,366
Chelonia mydas,BS,2014,5997,124
Chelonia mydas,AS,2015,36906,1160
Chelonia mydas,AS,2016,15756,209
Chelonia mydas,AS,2017,8973,213
Chelonia mydas,AS,2018,8421,238
Chelonia mydas,AS,2019,8890,350
Chelonia mydas,BS,2010,16465,183
Chelonia mydas,BS,2011,6541,116
Chelonia mydas,BS,2012,11657,161
Chelonia mydas,BS,2013,57795,835
Chelonia mydas,BS,2014,31186,659
Chelonia mydas,AS,2015,229666,2628
Chelonia mydas,AS,2016,91992,1008
Chelonia mydas,AS,2017,244182,3105
Chelonia mydas,AS,2018,49826,776
Chelonia mydas,AS,2019,227320,2967
Chelonia mydas,BS,2010,88922,1029
Chelonia mydas,BS,2011,78920,919
Chelonia mydas,BS,2012,86920,1518
Chelonia mydas,BS,2013,159783,1829
Chelonia mydas,BS,2014,76242,1056
Chelonia mydas,AS,2015,24110,294
Chelonia mydas,AS,2016,10817,211
Chelonia mydas,AS,2017,55433,613
Chelonia mydas,AS,2018,27160,353
Chelonia mydas,AS,2019,18046,485
Chelonia mydas,BS,2010,13537,171
Chelonia mydas,BS,2011,9472,140
Chelonia mydas,BS,2012,10296,207
Chelonia mydas,BS,2013,13849,176
Chelonia mydas,BS,2014,7639,146
Chelonia mydas,AS,2015,52603,547
Chelonia mydas,AS,2016,20930,240
Chelonia mydas,AS,2017,74517,845
Chelonia mydas,AS,2018,13128,128
Chelonia mydas,AS,2019,123954,1273
Chelonia mydas,BS,2010,44647,457
Chelonia mydas,BS,2011,24709,246
Chelonia mydas,BS,2012,29303,292
Chelonia mydas,BS,2013,42616,402
Chelonia mydas,BS,2014,14622,155
Chelonia mydas,AS,2015,21813,248
Chelonia mydas,AS,2016,9581,190
Chelonia mydas,AS,2017,20081,277
Chelonia mydas,AS,2018,18141,200
Chelonia mydas,AS,2019,7647,107
Chelonia mydas,BS,2010,17089,190
Chelonia mydas,BS,2011,12102,148
Chelonia mydas,BS,2012,10761,133
Chelonia mydas,BS,2013,18679,189
Chelonia mydas,BS,2014,6020,82
Chelonia mydas,AS,2015,19848,288
Chelonia mydas,AS,2016,8754,158
Chelonia mydas,AS,2017,24191,344
Chelonia mydas,AS,2018,8589,127
Chelonia mydas,AS,2019,16333,268
